totcper	totcinc	food	alta	age	dcoast	dmiddle	dwest
1135.6	 953.3	 688.3	  14.7	39.0	0	1	0
1602.4	1246.0	1158.4	  95.5	56.5	0	1	0
 915.3	1170.0	 437.3	  14.5	38.5	0	1	0
 715.1	 478.5	 494.8	  17.0	33.0	0	1	0
 743.9	 433.6	 563.5	  24.2	41.5	0	1	0
 622.7	 704.7	 395.2	  13.0	35.0	0	1	0
 872.6	 518.0	 605.3	   6.8	47.0	0	1	0
1095.3	 725.5	 845.3	  39.0	57.5	0	1	0
1051.0	 602.5	 770.0	  37.5	60.0	0	1	0
1082.6	 656.3	 767.6	  38.7	46.0	0	1	0
 932.0	 628.0	 689.7	  37.0	46.5	0	1	0
 846.7	 607.0	 545.7	  21.0	33.0	0	1	0
 609.4	 612.0	 442.4	  53.6	49.0	0	1	0
1584.7	 937.7	 554.7	  24.3	35.0	0	1	0
1539.9	 758.2	 544.1	  11.0	55.5	0	1	0
1133.2	 816.0	 541.9	  39.7	43.0	0	1	0
1405.3	1117.2	 635.1	  29.0	34.0	0	1	0
1430.3	1451.0	 652.6	  50.5	40.5	0	1	0
1081.5	 611.0	 501.3	  39.8	34.0	0	1	0
2001.8	 709.5	 850.8	  71.5	57.0	0	1	0
1777.2	1546.7	1225.5	  39.0	49.5	0	1	0
2015.4	2276.0	 710.2	  17.6	45.5	0	1	0
1069.1	2462.0	 629.9	  34.4	45.5	0	1	0
 836.1	2168.0	 558.2	   1.0	44.0	0	1	0
1118.5	2289.0	 624.0	  20.0	33.5	0	1	0
2339.6	3983.0	 923.6	   3.5	53.5	0	1	0
2013.8	2479.0	 785.1	  36.5	47.5	0	1	0
5209.5	5183.0	 890.0	   8.5	48.5	0	1	0
3784.3	 874.7	 525.3	  14.0	52.5	0	1	0
1957.2	1441.0	 614.5	  48.3	48.5	0	1	0
3211.7	3481.0	1261.2	  98.5	50.5	0	1	0
1143.1	2781.0	 743.6	   1.5	53.5	0	1	0
1446.8	3725.0	 751.8	  12.0	43.5	0	1	0
2749.9	2938.0	 490.4	  22.3	39.0	0	1	0
2425.3	2327.0	 655.8	  14.3	30.0	0	1	0
2676.7	1740.5	 793.4	  52.5	28.5	0	1	0
3975.4	2812.7	 746.0	  18.0	49.5	0	1	0
1035.1	2311.0	 577.9	   8.0	29.5	0	1	0
2960.4	2360.2	 778.1	   4.7	61.0	0	1	0
2792.5	2221.8	 519.2	   6.5	45.0	0	1	0
2194.0	2368.2	 607.6	  12.8	39.0	0	1	0
2155.3	2782.0	 828.3	  40.7	48.0	0	1	0
1522.0	3005.0	 648.6	  12.0	48.5	0	1	0
3893.4	3184.5	 607.6	  24.8	47.0	0	1	0
5405.0	3418.2	 722.5	  13.0	28.5	0	1	0
 925.3	2593.0	 550.1	  10.0	30.0	0	1	0
2805.9	2424.0	 557.4	  13.3	25.0	0	1	0
1895.7	1543.0	 565.1	  63.8	44.5	0	1	0
2016.0	2461.0	 597.4	   9.6	35.0	0	1	0
 980.4	2378.5	 590.1	  18.0	38.5	0	1	0
4663.1	2670.0	 814.6	   0.5	59.5	0	1	0
10805.6	2591.0	 612.3	  66.5	51.0	0	1	0
3327.0	2503.0	 670.0	  48.8	39.0	0	1	0
10555.1	3931.5	1457.6	  77.0	58.0	0	1	0
1348.0	2477.0	 958.0	   9.0	48.5	0	1	0
4556.5	2974.0	1750.5	  65.0	51.5	0	1	0
3215.7	3020.0	1176.3	 122.7	58.5	0	1	0
 901.8	2686.0	 516.6	  11.2	42.0	0	1	0
1035.4	2719.0	 717.4	   0.0	62.0	0	1	0
1835.2	2377.8	 615.8	   1.4	41.0	0	1	0
1586.2	 817.5	 491.2	  20.5	33.0	0	1	0
1239.7	1427.5	 542.7	   0.0	59.5	0	1	0
1212.7	1256.5	 838.2	  15.5	56.0	0	1	0
1887.7	 939.3	 995.7	  44.7	50.0	0	1	0
2932.1	 754.8	 629.1	  32.8	37.5	0	1	0
1162.5	 795.0	 716.8	  46.7	51.5	0	1	0
4967.1	 723.0	 833.6	  75.3	58.5	0	1	0
1977.6	 554.8	 638.9	  22.5	42.5	0	1	0
1122.3	 583.5	 849.8	   0.0	74.5	0	1	0
1195.7	 508.2	 622.5	   9.4	34.0	0	1	0
1853.1	 626.0	 940.8	  57.7	48.0	0	1	0
1755.7	 775.5	 908.7	  40.0	64.0	0	1	0
1191.2	 484.6	 646.4	  31.8	36.5	0	1	0
1026.9	 372.3	 582.4	  28.8	42.0	0	1	0
1577.1	 596.0	 819.6	  75.8	39.5	0	1	0
2062.4	 404.3	1041.6	  11.5	61.5	0	1	0
2130.9	1444.7	1274.3	  68.0	56.5	0	1	0
1016.2	 706.8	 659.9	   0.0	38.0	0	1	0
2300.6	 383.0	 561.2	  11.0	43.0	0	1	0
2694.7	 628.8	 723.4	   2.5	35.5	0	1	0
3754.9	1211.5	1081.9	   6.5	25.0	0	1	0
2528.3	 622.3	 657.8	   6.5	43.0	0	1	0
2778.1	 746.5	 719.6	   0.0	31.5	0	1	0
1316.1	1138.0	 894.6	  18.0	72.0	0	1	0
2922.7	 611.4	 546.1	   1.0	34.5	0	1	0
4055.8	 786.3	1085.1	  44.3	57.0	0	1	0
2695.7	 572.5	 761.7	  28.7	32.0	0	1	0
4177.8	 579.0	 823.3	  41.0	29.0	0	1	0
2761.7	 842.3	 600.7	   7.0	26.5	0	1	0
 885.7	 640.0	 681.2	  10.7	33.0	0	1	0
 756.2	1268.4	 449.0	   7.8	40.5	0	1	0
 823.6	 925.5	 685.1	  82.0	54.5	0	1	0
1029.3	2760.5	 600.3	  85.5	51.5	0	1	0
 768.7	1201.3	 506.0	  34.7	55.5	0	1	0
 661.9	 637.2	 451.7	  34.4	32.0	0	1	0
 682.0	1117.4	 419.2	  33.2	49.5	0	1	0
 719.0	 534.5	 475.0	  59.0	75.0	0	1	0
1017.7	1613.5	 554.4	  76.8	33.0	0	1	0
